"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses"
"San Diego Padres",107,122.7,91.8,27,18
"New York Yankees",106.1,117.7,91.1,27,19
"New York Mets",102.9,118.9,85.8,29,18
"Los Angeles Dodgers",102.6,120.7,82.9,29,18
"San Francisco Giants",101.6,111,91.7,28,19
"Detroit Tigers",101.5,119.6,82.3,31,16
"Chicago Cubs",96.3,121.5,68.3,28,19
"Philadelphia Phillies",95.9,114.6,76.7,28,18
"St. Louis Cardinals",91.4,109.8,71.5,26,21
"Cincinnati Reds",89.1,101.2,76.4,24,24
"Arizona Diamondbacks",87,99.1,76,25,22
"Tampa Bay Rays",85,100.5,69.5,21,25
"Houston Astros",83.4,101.1,65.4,24,22
"Boston Red Sox",82.6,96.5,68.7,23,25
"Seattle Mariners",79.9,103,58.7,26,19
"Kansas City Royals",78.8,92.4,65.5,26,22
"Cleveland Guardians",77.4,92.7,62,25,21
"Minnesota Twins",75,100.8,49.8,26,21
"Texas Rangers",74.7,87.7,62.3,25,23
"Milwaukee Brewers",71.8,101.4,44.4,22,25
"Atlanta Braves",71.4,92.5,52.1,24,23
"Toronto Blue Jays",70.8,92.2,49.5,22,24
"Athletics",69.8,91.4,50.1,22,25
"Baltimore Orioles",67.7,95.8,38.1,15,30
"Chicago White Sox",67.2,100.2,36.9,14,33
"Washington Nationals",65.2,77.8,53.3,21,27
"Los Angeles Angels",63.7,85.9,41.8,20,25
"Miami Marlins",63.4,74.7,52.5,18,27
"Pittsburgh Pirates",56.2,66.2,46.7,15,32
"Colorado Rockies",36.7,47.2,28.5,8,38
