"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"Chicago Cubs",96.2,103.5,87.8,65,47,32
"Detroit Tigers",95.6,100.9,90.4,66,48,30
"Los Angeles Dodgers",95.2,100.7,89.5,65,48,31
"New York Mets",93.2,98.5,87.6,63,50,31
"Milwaukee Brewers",92.7,103.3,82.5,68,44,25
"Philadelphia Phillies",92.7,98,87,64,48,29
"New York Yankees",92.3,96.6,87.7,60,53,33
"San Diego Padres",91.2,98.4,83.8,62,51,30
"Houston Astros",89.4,94.8,84.2,63,50,27
"Boston Red Sox",88.8,92.8,85.2,64,51,25
"Toronto Blue Jays",88.3,95.2,81.7,66,48,23
"Cincinnati Reds",85.6,88.9,82,60,56,26
"San Francisco Giants",84.8,89.4,80.3,56,57,29
"Seattle Mariners",84.3,91,77.6,60,53,25
"St. Louis Cardinals",83.4,89,77.6,57,57,27
"Texas Rangers",82.4,87.8,77,59,55,24
"Tampa Bay Rays",82,86.4,77.3,55,59,27
"Cleveland Guardians",79.3,83.4,75,57,56,23
"Kansas City Royals",78.9,82.5,75,56,57,23
"Arizona Diamondbacks",78.9,82.5,75.2,54,60,25
"Minnesota Twins",76.2,85,67.7,53,60,24
"Miami Marlins",75.2,79.2,71.2,55,56,21
"Los Angeles Angels",74.5,81.1,68,55,58,20
"Atlanta Braves",71.2,79,64.3,48,64,24
"Baltimore Orioles",71.1,80,63,51,62,21
"Pittsburgh Pirates",68,71.7,64.3,49,64,19
"Athletics",67.3,73.3,61.5,49,65,19
"Washington Nationals",64.4,68.2,60.5,44,67,21
"Chicago White Sox",63.1,73.8,53.4,42,70,22
"Colorado Rockies",42.2,45.4,39.3,30,82,13
