"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"Milwaukee Brewers",96.8,99.9,93.9,89,58,8
"Philadelphia Phillies",95.2,96.6,93.5,86,60,10
"Detroit Tigers",93.7,95.4,92,84,62,10
"Chicago Cubs",92.7,95.1,90.4,83,63,10
"Los Angeles Dodgers",91.6,93.4,89.9,82,64,10
"Toronto Blue Jays",91.2,93.5,88.9,83,62,9
"New York Yankees",90.8,92.4,89.2,80,65,11
"Boston Red Sox",89.6,90.7,88.5,82,66,8
"San Diego Padres",88.2,90.7,85.9,79,67,10
"Houston Astros",87.6,89,85.9,79,67,9
"Seattle Mariners",86.1,88.2,84.1,78,68,9
"New York Mets",85.5,87.4,83.7,76,70,10
"Texas Rangers",84.6,86.2,83,77,70,8
"San Francisco Giants",83.2,84.8,81.4,74,72,10
"Cincinnati Reds",82.1,83.1,81.2,75,74,8
"Kansas City Royals",81.6,82.8,80.5,74,72,8
"Tampa Bay Rays",81.4,82.8,80,72,73,10
"Cleveland Guardians",81.3,82.6,80.1,74,72,8
"Arizona Diamondbacks",80.2,81.2,79.3,73,75,8
"St. Louis Cardinals",80,81.7,78.4,72,75,8
"Los Angeles Angels",75.5,77.6,73.5,69,77,7
"Baltimore Orioles",75,78,72.4,68,77,7
"Miami Marlins",73.5,74.7,72.4,67,79,7
"Atlanta Braves",73.1,74.9,71.2,66,81,8
"Athletics",73,74.8,71.1,67,80,6
"Minnesota Twins",72.1,74.4,69.7,65,82,8
"Pittsburgh Pirates",70.4,71.7,69.1,64,82,7
"Washington Nationals",66.7,67.9,65.7,60,85,7
"Chicago White Sox",62.9,66,59.9,56,90,7
"Colorado Rockies",44,44.9,43.1,40,106,4
