"Team","Expected_Wins","E95_Wins","E05_Wins"
"San Diego Padres",109.6,125.8,92.2
"New York Yankees",105.7,120.4,90.9
"Los Angeles Dodgers",104.4,123.3,82.8
"New York Mets",103.6,120.5,84.6
"San Francisco Giants",100.8,111.1,90.3
"Detroit Tigers",100.5,119.7,80.3
"Chicago Cubs",95.5,120,66
"Philadelphia Phillies",94.1,114.3,72.3
"St. Louis Cardinals",90.3,111,69
"Cincinnati Reds",88.5,100.8,76.1
"Arizona Diamondbacks",87.4,100.1,74.8
"Tampa Bay Rays",85.6,102,68.5
"Boston Red Sox",83.8,98.5,69.5
"Houston Astros",81.5,101.1,62.5
"Seattle Mariners",79.5,103.8,56.7
"Cleveland Guardians",79.4,96.6,62.7
"Kansas City Royals",78.5,91.8,64.2
"Texas Rangers",73.8,86.1,61.8
"Athletics",72.1,94.7,50.6
"Minnesota Twins",71.9,99.5,48.3
"Toronto Blue Jays",71.6,96.3,48.8
"Baltimore Orioles",70.6,101.3,38.9
"Milwaukee Brewers",70.6,102.3,43.7
"Atlanta Braves",70.5,92.1,49.8
"Chicago White Sox",70.5,105.8,38
"Miami Marlins",63.9,77,51.8
"Washington Nationals",62.7,75.5,50.7
"Los Angeles Angels",61.5,86.9,38.7
"Pittsburgh Pirates",57.4,68,46.8
"Colorado Rockies",36.9,47.8,27
