"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses"
"San Diego Padres",107,122.7,91.8,27,18
"New York Yankees",106.1,117.7,91.1,27,19
"New York Mets",102.2,117.3,83.9,29,19
"Los Angeles Dodgers",101.1,120.2,82.8,29,19
"San Francisco Giants",101,110.1,91.2,28,20
"Detroit Tigers",100.2,119.1,81.5,31,17
"Chicago Cubs",96.5,119.7,68.7,28,20
"Philadelphia Phillies",96.3,113.8,76.9,29,18
"St. Louis Cardinals",91.6,111.3,72.3,27,21
"Cincinnati Reds",90.1,101.5,77.6,25,24
"Arizona Diamondbacks",87.6,99.3,75.6,26,22
"Tampa Bay Rays",83.7,99.4,68.8,21,26
"Boston Red Sox",83.3,96.1,69.5,24,25
"Houston Astros",82.4,100.9,66,25,22
"Seattle Mariners",81.6,104.8,58,27,19
"Kansas City Royals",79.3,92.8,66.9,27,22
"Cleveland Guardians",77.4,92.7,62,25,21
"Minnesota Twins",75,100.8,49.8,26,21
"Texas Rangers",74.7,87.7,62.3,25,23
"Atlanta Braves",71.4,92.5,52.1,24,23
"Milwaukee Brewers",71.1,100.8,46,23,25
"Toronto Blue Jays",70.8,92.2,49.5,22,24
"Athletics",70.5,91.1,49,22,26
"Baltimore Orioles",66.7,97.1,38.1,15,31
"Chicago White Sox",66.7,99.3,36,14,34
"Washington Nationals",65.2,77.8,53.3,21,27
"Miami Marlins",64,76.5,53.7,19,27
"Los Angeles Angels",63.4,88.9,44.2,21,25
"Pittsburgh Pirates",55.8,65.5,46.6,15,33
"Colorado Rockies",36.6,46.6,27.6,8,39
