"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"Chicago Cubs",97.1,105.4,87.9,62,43,36
"New York Mets",96.4,102.5,90,62,44,35
"Los Angeles Dodgers",95.3,101.8,88.7,61,45,35
"Detroit Tigers",95,101.4,88.8,61,46,34
"New York Yankees",94.8,99.7,89,57,48,38
"Philadelphia Phillies",92.3,98.2,85.8,60,45,33
"San Diego Padres",90.3,98.6,81.3,57,49,34
"Milwaukee Brewers",90.1,101.8,77.9,62,43,29
"Houston Astros",89.9,96.2,83.6,60,46,30
"Toronto Blue Jays",89.2,97,81.4,63,43,27
"Cincinnati Reds",87.3,91.4,83.2,57,51,31
"San Francisco Giants",87.2,92.4,81.9,54,52,34
"Boston Red Sox",86.7,91.1,82.3,58,50,29
"Tampa Bay Rays",84.3,89.6,78.9,53,53,32
"St. Louis Cardinals",84.1,91,77.9,54,53,31
"Seattle Mariners",84.1,91.6,76.3,56,50,29
"Texas Rangers",83.2,89.3,77.1,56,50,28
"Arizona Diamondbacks",79.5,83.9,75.3,51,56,29
"Kansas City Royals",78.2,82.7,73.8,52,54,27
"Minnesota Twins",77.7,87.7,68,51,55,27
"Cleveland Guardians",77.6,82.6,72.7,52,54,26
"Los Angeles Angels",73.4,81.5,65.9,51,55,23
"Miami Marlins",72.8,77.3,68.5,50,54,23
"Atlanta Braves",71.3,79.9,63.5,44,60,28
"Baltimore Orioles",70.6,81.2,60.5,47,58,24
"Athletics",66.4,74,60.1,46,62,21
"Washington Nationals",65.9,70.2,61.9,43,62,23
"Pittsburgh Pirates",65.6,70.1,61.2,44,62,22
"Chicago White Sox",62,74,51.2,38,68,24
"Colorado Rockies",40.7,44.6,37.6,27,78,14
