"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"New York Yankees",101.1,108.1,92.8,48,35,54
"Los Angeles Dodgers",101,110.1,90.6,53,32,48
"Detroit Tigers",101,110,90.8,53,32,48
"New York Mets",96.9,105,87.5,48,37,49
"Chicago Cubs",96.6,109.8,82.5,49,35,48
"San Diego Padres",94.2,105.3,80.6,45,38,50
"Philadelphia Phillies",93.2,102.8,83.4,49,35,45
"San Francisco Giants",92.6,99,86.1,45,39,48
"Houston Astros",90.6,100.7,81.4,50,34,41
"Tampa Bay Rays",90.4,98.6,82,47,37,44
"St. Louis Cardinals",90.3,99.6,80,47,38,44
"Cincinnati Reds",88.7,94.7,82.2,45,40,44
"Milwaukee Brewers",84.7,100.5,68.1,47,37,38
"Seattle Mariners",82.2,94.8,69.4,43,40,40
"Boston Red Sox",81.6,88.1,74.5,41,44,41
"Arizona Diamondbacks",81.4,88.3,74.9,41,43,41
"Toronto Blue Jays",80.4,92.8,68.5,45,38,36
"Minnesota Twins",77.5,93,62.7,41,44,37
"Texas Rangers",77.5,85.9,69.5,41,43,37
"Cleveland Guardians",76.5,84.3,68.2,40,43,37
"Kansas City Royals",75.7,82.8,68.7,39,45,37
"Atlanta Braves",74.6,88,61.9,38,45,37
"Los Angeles Angels",71.4,84.5,60.4,41,42,31
"Baltimore Orioles",68.1,85.5,53.7,36,47,33
"Miami Marlins",67.4,73.5,61.5,37,45,31
"Washington Nationals",66.3,73,59.7,35,49,32
"Pittsburgh Pirates",63.4,69.4,58.1,35,50,29
"Athletics",63.1,74.4,52.9,34,52,30
"Chicago White Sox",62.3,80.4,44.6,28,56,35
"Colorado Rockies",38,43.2,33,19,65,19
